id,sfdc_id,CaseNumber,ContactId,AccountId,Type,Status,Reason,Origin,Subject,Priority,Description,Lead__c
1,,,,,Problem,Closed,"New problem",Phone,"Ameliorated full-range local area network",Medium,"harness vertical action-items",00Qm0000001B1N7EAK
2,,,,,Problem,New,"Instructions not clear",Web,"User-friendly user-facing policy",Medium,"streamline frictionless eyeballs",00Qm0000001B1NDEA0
3,,,003m0000003A5X9AAK,001m0000004BhoWAAS,Problem,Closed,"Complex functionality",Phone,"Implemented demand-driven service-desk",Medium,"strategize customized functionalities",
4,,,003m0000003A5XdAAK,001m0000004Bhp0AAC,Problem,New,"Instructions not clear",Phone,"Decentralized system-worthy methodology",High,"maximize global technologies",
5,,,003m0000003A5XlAAK,001m0000004Bhp8AAC,Question,Closed,"Complex functionality",Email,"Triple-buffered uniform project",Medium,"synergize customized action-items",
6,,,,,Problem,Escalated,"New problem",Web,"Extended leading edge process improvement",High,"synergize dot-com infomediaries",00Qm0000001B1NBEA0
7,,,003m0000003A5XDAA0,001m0000004BhoaAAC,"Feature Request",Escalated,"Instructions not clear",Phone,"Customizable clear-thinking contingency",Medium,"repurpose best-of-breed action-items",
8,,,003m0000003A5XAAA0,001m0000004BhoXAAS,Problem,New,"Existing problem",Email,"Reduced contextually-based forecast",Medium,"iterate bricks-and-clicks channels",
9,,,003m0000003A5XfAAK,001m0000004Bhp2AAC,Question,Closed,"User didn't attend training",Email,"Triple-buffered grid-enabled challenge",Medium,"target one-to-one convergence",
10,,,003m0000003A5XFAA0,001m0000004BhocAAC,"Feature Request","On Hold","Complex functionality",Web,"Mandatory client-driven knowledge user",Medium,"integrate plug-and-play e-markets",
11,,,,,Question,"On Hold","New problem",Phone,"Down-sized impactful model",Medium,"benchmark end-to-end web-readiness",00Qm0000001B1NDEA0
12,,,,,"Feature Request",Closed,"Complex functionality",Web,"Re-contextualized context-sensitive local area network",Medium,"visualize impactful e-business",00Qm0000001B1NLEA0
13,,,,,"Feature Request",New,"Complex functionality",Email,"Compatible didactic capability",High,"maximize turn-key infomediaries",00Qm0000001B1NcEAK
14,,,003m0000003A5XsAAK,001m0000004BhpFAAS,Question,Escalated,"Existing problem",Web,"Total cohesive framework",Low,"innovate sexy architectures",
15,,,,,"Feature Request",New,"Existing problem",Email,"Expanded exuding interface",Medium,"optimize cross-media portals",00Qm0000001B1NiEAK
16,,,003m0000003A5XZAA0,001m0000004BhowAAC,Question,Escalated,"Instructions not clear",Email,"Customizable regional portal",Low,"drive intuitive methodologies",
17,,,003m0000003A5XbAAK,001m0000004BhoyAAC,"Feature Request",Escalated,"User didn't attend training",Email,"Universal incremental focus group",High,"extend proactive portals",
18,,,,,"Feature Request",Closed,"User didn't attend training",Web,"Function-based 24/7 hierarchy",Low,"embrace bleeding-edge infrastructures",00Qm0000001B1NNEA0
19,,,003m0000003A5XtAAK,001m0000004BhpGAAS,Problem,"On Hold","Complex functionality",Phone,"Self-enabling interactive archive",High,"drive intuitive eyeballs",
20,,,003m0000003A5XQAA0,001m0000004BhonAAC,Question,New,"User didn't attend training",Email,"Distributed upward-trending database",Medium,"empower vertical experiences",
21,,,003m0000003A5XJAA0,001m0000004BhogAAC,Problem,New,"Instructions not clear",Email,"Synchronised non-volatile support",Low,"incentivize one-to-one paradigms",
22,,,,,Question,New,"User didn't attend training",Web,"Universal web-enabled neural-net",Medium,"integrate killer e-markets",00Qm0000001B1NAEA0
23,,,003m0000003A5XNAA0,001m0000004BhokAAC,"Feature Request",New,"Complex functionality",Phone,"Versatile system-worthy framework",Low,"incentivize 24/7 e-commerce",
24,,,003m0000003A5XsAAK,001m0000004BhpFAAS,"Feature Request","On Hold","Complex functionality",Email,"Configurable national matrices",Low,"iterate strategic supply-chains",
25,,,003m0000003A5XoAAK,001m0000004BhpBAAS,"Feature Request",Closed,"User didn't attend training",Email,"Programmable grid-enabled architecture",Medium,"brand leading-edge relationships",
26,,,,,"Feature Request","On Hold","New problem",Email,"Open-architected global toolset",Medium,"scale revolutionary e-commerce",00Qm0000001B1NkEAK
27,,,,,"Feature Request",Closed,"Existing problem",Phone,"Phased local focus group",Medium,"e-enable killer systems",00Qm0000001B1NEEA0
28,,,,,Problem,New,"Complex functionality",Phone,"User-friendly zero tolerance superstructure",Low,"reinvent global solutions",00Qm0000001B1N8EAK
29,,,003m0000003A5XbAAK,001m0000004BhoyAAC,Problem,New,"Instructions not clear",Web,"Persistent disintermediate alliance",Medium,"visualize next-generation platforms",
30,,,,,Problem,"On Hold","Complex functionality",Email,"Organized systematic data-warehouse",Medium,"brand value-added methodologies",00Qm0000001B1N0EAK
